client_id,nom_client,adresse_client,devis_id,date_devis,produit_id,nom_produit,quantité,prix_unitaire
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",24998,2024-04-27,44214,himself world,1,597.5
74347,Stacy Stewart,"5683 Greer Shore, New Deborahland, MH 19326",24998,2024-04-27,35577,tough no,4,41.98
44972,Joy Dalton,"263 Scott Mission Apt. 309, Parkerberg, ME 92912",60050,2024-08-28,74698,activity both,4,912.19
44972,Joy Dalton,"263 Scott Mission Apt. 309, Parkerberg, ME 92912",60050,2024-08-28,99467,entire clear,1,168.62
44972,Joy Dalton,"263 Scott Mission Apt. 309, Parkerberg, ME 92912",60050,2024-08-28,285,provide friend,4,162.6
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",33283,2024-05-17,38980,light together,2,757.42
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",17806,2024-03-12,87329,worker organization,3,990.26
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",17806,2024-03-12,48648,some onto,3,35.31
26345,Samantha Hall,"14339 Martin Underpass, East Troyfort, NV 19044",19955,2024-07-17,4361,follow it,2,328.54
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",25049,2024-04-20,91362,training force,1,640.29
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",25049,2024-04-20,285,provide friend,3,162.6
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",25049,2024-04-20,75590,fill condition,4,803.04
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",8063,2024-04-19,39680,wait phone,2,390.08
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",8063,2024-04-19,70552,blood sister,1,901.46
12171,Tyler Sanders,"9431 Woods Hollow Apt. 990, Paulfurt, WA 18369",43243,2024-06-21,30480,area world,1,919.25
38755,Michelle Holloway,"357 Emily Port Apt. 896, Tracyfurt, NM 19991",51145,2024-02-11,37001,draw beyond,1,478.75
38755,Michelle Holloway,"357 Emily Port Apt. 896, Tracyfurt, NM 19991",24916,2023-11-27,95733,south interview,5,259.25
38755,Michelle Holloway,"357 Emily Port Apt. 896, Tracyfurt, NM 19991",24916,2023-11-27,59794,economic power,1,146.78
38755,Michelle Holloway,"357 Emily Port Apt. 896, Tracyfurt, NM 19991",24916,2023-11-27,53539,radio develop,4,458.26
34630,Charles Perez,"33147 Parker Expressway Apt. 626, Grayside, MO 14138",55659,2024-06-16,98054,if top,3,973.01
34630,Charles Perez,"33147 Parker Expressway Apt. 626, Grayside, MO 14138",55659,2024-06-16,10729,hotel degree,5,800.46
34630,Charles Perez,"33147 Parker Expressway Apt. 626, Grayside, MO 14138",7189,2024-04-14,13073,table after,4,92.97
34630,Charles Perez,"33147 Parker Expressway Apt. 626, Grayside, MO 14138",60505,2024-04-19,62070,firm it,4,709.83
22993,Robert Smith,"1388 Taylor Terrace Apt. 661, Ericaburgh, ND 43396",34266,2023-11-05,70552,blood sister,1,901.46
22993,Robert Smith,"1388 Taylor Terrace Apt. 661, Ericaburgh, ND 43396",34266,2023-11-05,13433,positive after,3,154.64
22993,Robert Smith,"1388 Taylor Terrace Apt. 661, Ericaburgh, ND 43396",34266,2023-11-05,4361,follow it,1,328.54
8323,Sarah Powell,"87008 Stephanie Plaza, Sullivanview, MT 41832",39049,2024-04-30,73670,government leg,5,838.01
12097,Jamie Eaton,"2440 Samantha Knoll Apt. 066, Lake Lauraberg, AL 20691",69551,2023-11-24,44518,build society,2,303.04
51251,Ryan Jones,"990 Juan Cove, Ruizside, AS 99808",56305,2024-01-04,58821,yard identify,1,399.75
51251,Ryan Jones,"990 Juan Cove, Ruizside, AS 99808",56305,2024-01-04,59794,economic power,2,146.78
51251,Ryan Jones,"990 Juan Cove, Ruizside, AS 99808",40717,2024-01-23,83028,impact reach,5,880.32
15879,Brandon Long,"332 Jessica Passage Apt. 419, Martinland, WI 14750",14388,2023-11-24,4459,admit measure,3,737.28
15879,Brandon Long,"332 Jessica Passage Apt. 419, Martinland, WI 14750",14388,2023-11-24,44214,himself world,2,597.5
4966,Brandy Kim,"86392 Rebecca Drive Suite 255, Lake Jenniferberg, NV 64642",75336,2024-07-19,92810,citizen dream,5,876.79
4966,Brandy Kim,"86392 Rebecca Drive Suite 255, Lake Jenniferberg, NV 64642",75336,2024-07-19,46813,avoid loss,4,58.75
53577,William Nichols,"872 Madeline Lock Suite 911, Charlesmouth, KY 42285",88083,2024-01-01,285,provide friend,2,162.6
53577,William Nichols,"872 Madeline Lock Suite 911, Charlesmouth, KY 42285",88083,2024-01-01,70552,blood sister,4,901.46
53577,William Nichols,"872 Madeline Lock Suite 911, Charlesmouth, KY 42285",88083,2024-01-01,25025,mouth key,4,575.89
62453,Erin Washington,"5357 Robert Trace, Lake Bradley, RI 19377",88549,2024-07-22,44518,build society,2,303.04
8944,Amber Woods,"63712 Ward Pike Suite 654, Carolside, MH 09532",73487,2023-12-24,4080,reach physical,2,879.22
8944,Amber Woods,"63712 Ward Pike Suite 654, Carolside, MH 09532",73487,2023-12-24,89010,state since,4,773.88
403,Samantha Hill,"6938 Johnson Flats Apt. 903, South Andrew, MN 37904",37951,2023-11-25,10729,hotel degree,4,800.46
403,Samantha Hill,"6938 Johnson Flats Apt. 903, South Andrew, MN 37904",37951,2023-11-25,89010,state since,1,773.88
403,Samantha Hill,"6938 Johnson Flats Apt. 903, South Andrew, MN 37904",37951,2023-11-25,70552,blood sister,4,901.46
403,Samantha Hill,"6938 Johnson Flats Apt. 903, South Andrew, MN 37904",28440,2023-11-01,79139,administration success,4,378.98
403,Samantha Hill,"6938 Johnson Flats Apt. 903, South Andrew, MN 37904",28440,2023-11-01,37001,draw beyond,2,478.75
44050,Sarah Cohen,"17983 Natalie Square Apt. 626, East Christychester, KS 74360",26231,2024-06-24,31238,church interest,2,54.88
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",71235,2023-11-13,13073,table after,4,92.97
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",20442,2024-02-04,25025,mouth key,1,575.89
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",20442,2024-02-04,20230,maintain finish,1,37.39
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",68127,2024-02-05,30630,share particularly,2,646.96
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",68127,2024-02-05,29397,level visit,2,346.42
28773,William Moore,"13391 Horn Turnpike, Lake Paige, TX 60168",68127,2024-02-05,91241,Republican police,2,442.29
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",45618,2024-02-06,46813,avoid loss,1,58.75
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",45618,2024-02-06,5537,why day,2,432.56
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",45618,2024-02-06,39680,wait phone,2,390.08
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",52408,2024-06-01,49358,west build,5,812.37
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",52408,2024-06-01,99467,entire clear,5,168.62
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",52408,2024-06-01,14861,social ahead,2,118.94
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",41348,2023-11-17,13073,table after,5,92.97
68646,Mitchell Adkins,"8073 Holden Squares Apt. 523, West Jennifermouth, OK 61740",41348,2023-11-17,78574,pretty little,2,275.46
68208,Richard Quinn,"60559 Albert Valleys Suite 049, East Jonathanshire, TX 07817",33143,2024-01-06,37534,dark few,2,290.77
68208,Richard Quinn,"60559 Albert Valleys Suite 049, East Jonathanshire, TX 07817",33143,2024-01-06,1025,against return,5,307.44
71287,Madison Moody,"4762 Smith Ways Apt. 361, Stephenbury, MS 29442",68545,2024-02-14,52265,international watch,3,110.68
71287,Madison Moody,"4762 Smith Ways Apt. 361, Stephenbury, MS 29442",13818,2024-07-31,66829,indicate glass,2,655.22
71287,Madison Moody,"4762 Smith Ways Apt. 361, Stephenbury, MS 29442",13818,2024-07-31,5537,why day,5,432.56
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",97128,2024-07-02,49358,west build,5,812.37
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",46160,2023-12-23,35577,tough no,2,41.98
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",46160,2023-12-23,75590,fill condition,4,803.04
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",46160,2023-12-23,59794,economic power,2,146.78
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",31384,2024-09-01,83277,west western,4,882.67
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",31384,2024-09-01,44214,himself world,4,597.5
48102,Steven Thompson,"09356 Mary Inlet, New Matthewborough, FM 15912",31384,2024-09-01,29940,cause here,4,967.4
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",15929,2024-09-22,13073,table after,1,92.97
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",15929,2024-09-22,95733,south interview,4,259.25
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",1184,2023-12-17,25217,case full,2,221.27
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",1184,2023-12-17,3588,collection child,5,52.62
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",48698,2024-10-02,73670,government leg,2,838.01
5377,Nathaniel Cook,"9334 Fletcher Islands Suite 765, East Triciatown, LA 64597",48698,2024-10-02,62762,amount seat,1,379.34
30328,Jeffrey Wood,"5993 Raymond Junction, Tylermouth, LA 73663",18298,2024-08-13,97994,remain discussion,3,534.48
30328,Jeffrey Wood,"5993 Raymond Junction, Tylermouth, LA 73663",18298,2024-08-13,31737,pull idea,5,700.12
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",90393,2024-03-03,91472,different state,2,513.47
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",82376,2024-02-05,41078,break of,4,395.12
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",82376,2024-02-05,98176,single similar,1,698.81
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",40799,2024-10-03,44214,himself world,3,597.5
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",40799,2024-10-03,57048,central finish,5,349.0
98291,Lisa Davidson,"USNS Pope, FPO AA 66193",40799,2024-10-03,285,provide friend,4,162.6
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",61048,2024-07-15,89010,state since,1,773.88
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",61048,2024-07-15,35740,fly catch,3,408.16
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",26215,2024-09-25,4361,follow it,3,328.54
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",26215,2024-09-25,91241,Republican police,1,442.29
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",26215,2024-09-25,39707,record give,1,271.2
60436,Joy Walsh,"97064 Wolf Plains, Debrafort, ME 84522",4942,2024-09-09,31737,pull idea,5,700.12
88216,Brandon Hodges,"5626 Karen Burgs Suite 579, New Jessicashire, PA 83186",35734,2023-12-14,65859,however group,3,565.77
88216,Brandon Hodges,"5626 Karen Burgs Suite 579, New Jessicashire, PA 83186",69506,2023-11-29,73670,government leg,1,838.01
88216,Brandon Hodges,"5626 Karen Burgs Suite 579, New Jessicashire, PA 83186",69506,2023-11-29,44518,build society,4,303.04
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",52138,2024-03-20,44214,himself world,4,597.5
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",52138,2024-03-20,85138,same impact,3,638.88
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",22688,2024-06-10,57048,central finish,4,349.0
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",78550,2024-05-16,48648,some onto,3,35.31
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",78550,2024-05-16,2235,senior work,5,871.17
49883,Keith Davis,"7249 Hammond Trace, South Emilyport, WA 52638",78550,2024-05-16,12041,most easy,2,550.4
33940,Christina Bush,"919 Stephens Manors, Tonychester, TN 37121",53530,2024-09-15,97994,remain discussion,2,534.48
34991,Cheryl Walters,"239 Kenneth Vista Apt. 747, Lake Hollybury, IN 42597",75779,2024-03-12,24491,friend senior,3,785.53
34991,Cheryl Walters,"239 Kenneth Vista Apt. 747, Lake Hollybury, IN 42597",69375,2024-03-08,35618,now suddenly,3,725.87
34991,Cheryl Walters,"239 Kenneth Vista Apt. 747, Lake Hollybury, IN 42597",69375,2024-03-08,35618,now suddenly,1,725.87
34991,Cheryl Walters,"239 Kenneth Vista Apt. 747, Lake Hollybury, IN 42597",69375,2024-03-08,70552,blood sister,5,901.46
74766,Steven Mullins,"08539 Gomez Roads, Kevinfort, HI 88259",7993,2023-11-07,66829,indicate glass,2,655.22
21382,Sarah Mcdonald,"219 Morgan Circle Apt. 167, Lake Christinaton, DC 41395",74670,2024-02-04,23419,represent which,5,615.92
21382,Sarah Mcdonald,"219 Morgan Circle Apt. 167, Lake Christinaton, DC 41395",74670,2024-02-04,30480,area world,3,919.25
21382,Sarah Mcdonald,"219 Morgan Circle Apt. 167, Lake Christinaton, DC 41395",45403,2024-05-21,84855,fund account,4,216.8
72928,Courtney Greene,"409 Doris Mall, Carlside, WV 69066",34363,2024-05-04,37001,draw beyond,5,478.75
72928,Courtney Greene,"409 Doris Mall, Carlside, WV 69066",34363,2024-05-04,31238,church interest,3,54.88
72928,Courtney Greene,"409 Doris Mall, Carlside, WV 69066",34363,2024-05-04,31737,pull idea,1,700.12
72928,Courtney Greene,"409 Doris Mall, Carlside, WV 69066",33908,2024-07-15,66984,car data,4,115.17
53073,Michael Collins,"19357 Donald Valleys Apt. 936, Harrisville, AL 19661",41087,2024-04-02,23419,represent which,5,615.92
53073,Michael Collins,"19357 Donald Valleys Apt. 936, Harrisville, AL 19661",41087,2024-04-02,5537,why day,4,432.56
59042,Rebecca Kim,"5194 Cooper Heights Suite 311, South Charlestown, AZ 32131",91333,2024-09-05,29397,level visit,3,346.42
46651,Mark Mcpherson,"956 Richards Point Apt. 752, East Patricia, IN 14707",43327,2024-07-30,91472,different state,2,513.47
46651,Mark Mcpherson,"956 Richards Point Apt. 752, East Patricia, IN 14707",43109,2024-01-02,87329,worker organization,3,990.26
46651,Mark Mcpherson,"956 Richards Point Apt. 752, East Patricia, IN 14707",43109,2024-01-02,12041,most easy,1,550.4
46651,Mark Mcpherson,"956 Richards Point Apt. 752, East Patricia, IN 14707",68768,2023-11-04,24491,friend senior,3,785.53
46651,Mark Mcpherson,"956 Richards Point Apt. 752, East Patricia, IN 14707",68768,2023-11-04,41078,break of,2,395.12
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",70739,2024-08-21,2235,senior work,1,871.17
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",70739,2024-08-21,37534,dark few,4,290.77
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",70739,2024-08-21,62070,firm it,4,709.83
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",50657,2024-05-09,59794,economic power,1,146.78
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",50657,2024-05-09,23504,may somebody,5,223.91
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",50657,2024-05-09,70166,let candidate,1,337.72
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",42594,2024-10-10,37001,draw beyond,1,478.75
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",42594,2024-10-10,59794,economic power,2,146.78
24122,Russell Mccullough,"91804 Silva Mission, Jonathanland, PW 71637",42594,2024-10-10,89010,state since,4,773.88
78713,Johnathan Dunn,"5256 Danny Expressway Suite 850, Jasonside, ME 51150",70648,2024-06-14,13433,positive after,5,154.64
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",68494,2024-10-11,99677,game test,4,780.7
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",90703,2024-01-12,99467,entire clear,3,168.62
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",90703,2024-01-12,38980,light together,5,757.42
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",90703,2024-01-12,66223,specific serious,2,763.48
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",81386,2024-04-26,66223,specific serious,1,763.48
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",81386,2024-04-26,95733,south interview,4,259.25
8005,Antonio Hoffman,"76370 Melissa Light, East Josephside, MS 36840",81386,2024-04-26,39707,record give,5,271.2
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",3058,2023-11-15,83028,impact reach,5,880.32
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",3058,2023-11-15,88584,law within,1,851.28
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",71867,2024-04-15,285,provide friend,2,162.6
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",71867,2024-04-15,70552,blood sister,1,901.46
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",68236,2024-01-05,35618,now suddenly,2,725.87
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",68236,2024-01-05,12041,most easy,2,550.4
97121,Kathleen Joseph,"89897 David Parks, East Andre, MS 88973",68236,2024-01-05,70166,let candidate,5,337.72
24234,Lee Roth,"52204 Reed Estate, Hoodtown, WI 57857",2158,2023-10-22,83277,west western,5,882.67
24234,Lee Roth,"52204 Reed Estate, Hoodtown, WI 57857",2158,2023-10-22,31238,church interest,1,54.88
24234,Lee Roth,"52204 Reed Estate, Hoodtown, WI 57857",2158,2023-10-22,31737,pull idea,2,700.12
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",53358,2023-10-31,53539,radio develop,1,458.26
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",53358,2023-10-31,48648,some onto,1,35.31
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",53358,2023-10-31,66986,stay away,4,171.66
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",81674,2024-04-26,99467,entire clear,5,168.62
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",81674,2024-04-26,31238,church interest,5,54.88
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",81674,2024-04-26,66829,indicate glass,4,655.22
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",34346,2024-01-27,49358,west build,2,812.37
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",34346,2024-01-27,12041,most easy,3,550.4
82192,Holly Chandler,"312 Garrison Landing, Huntbury, NY 25560",34346,2024-01-27,2649,themselves person,1,382.08
17994,Mark Cook,"USCGC Franklin, FPO AA 04482",32200,2024-03-10,67406,threat mission,2,181.57
17994,Mark Cook,"USCGC Franklin, FPO AA 04482",32200,2024-03-10,7628,call thought,5,671.06
17994,Mark Cook,"USCGC Franklin, FPO AA 04482",32200,2024-03-10,98176,single similar,2,698.81
96403,Michael Smith,"22416 Frederick Locks, Fuentesside, MO 30681",27828,2024-03-01,23419,represent which,5,615.92
96403,Michael Smith,"22416 Frederick Locks, Fuentesside, MO 30681",27828,2024-03-01,98176,single similar,5,698.81
46968,Robert Williamson,"317 Mikayla Squares Apt. 559, Bakerland, PA 00716",54609,2024-10-01,99467,entire clear,5,168.62
46968,Robert Williamson,"317 Mikayla Squares Apt. 559, Bakerland, PA 00716",54609,2024-10-01,99467,entire clear,2,168.62
46968,Robert Williamson,"317 Mikayla Squares Apt. 559, Bakerland, PA 00716",54609,2024-10-01,3436,he pattern,4,504.18
324,Michael Shepherd,"Unit 4986 Box 6052, DPO AP 11370",2943,2024-08-06,4361,follow it,3,328.54
324,Michael Shepherd,"Unit 4986 Box 6052, DPO AP 11370",2943,2024-08-06,20230,maintain finish,5,37.39
324,Michael Shepherd,"Unit 4986 Box 6052, DPO AP 11370",2943,2024-08-06,83028,impact reach,3,880.32
34191,James Clark,"45921 Kyle Forest Suite 539, Thomasside, WV 98559",99129,2024-03-07,7458,could tell,5,311.26
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",81210,2024-02-20,62762,amount seat,1,379.34
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",81210,2024-02-20,7628,call thought,1,671.06
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",81210,2024-02-20,31737,pull idea,3,700.12
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",75807,2024-02-05,57048,central finish,3,349.0
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",14139,2023-11-08,70918,team clear,4,59.7
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",14139,2023-11-08,35740,fly catch,3,408.16
83230,Eric Gray,"39448 Tiffany Knoll, Thompsonmouth, WA 79938",14139,2023-11-08,75590,fill condition,3,803.04
42882,Wendy Ortiz,"48951 Daniel Bypass, East Danielleborough, AS 99663",36145,2024-08-30,14861,social ahead,4,118.94
42882,Wendy Ortiz,"48951 Daniel Bypass, East Danielleborough, AS 99663",36513,2024-05-09,38980,light together,1,757.42
42882,Wendy Ortiz,"48951 Daniel Bypass, East Danielleborough, AS 99663",14363,2024-05-16,27041,popular figure,5,483.9
72325,Amanda Higgins,"299 Smith Oval, North Davidhaven, NM 10034",57632,2024-03-26,3588,collection child,3,52.62
72325,Amanda Higgins,"299 Smith Oval, North Davidhaven, NM 10034",57632,2024-03-26,39680,wait phone,2,390.08
72325,Amanda Higgins,"299 Smith Oval, North Davidhaven, NM 10034",57632,2024-03-26,20230,maintain finish,2,37.39
80032,David Garcia,"920 Shane Plains, Lake Latoya, SD 57054",37797,2024-08-03,10729,hotel degree,2,800.46
80032,David Garcia,"920 Shane Plains, Lake Latoya, SD 57054",37797,2024-08-03,62070,firm it,3,709.83
80032,David Garcia,"920 Shane Plains, Lake Latoya, SD 57054",37797,2024-08-03,35577,tough no,1,41.98
98214,Mariah Wilson,"4518 Gary Parks Suite 343, North Jennyhaven, WI 51027",15938,2024-09-03,91241,Republican police,3,442.29
98214,Mariah Wilson,"4518 Gary Parks Suite 343, North Jennyhaven, WI 51027",15938,2024-09-03,70166,let candidate,3,337.72
98214,Mariah Wilson,"4518 Gary Parks Suite 343, North Jennyhaven, WI 51027",95329,2024-03-21,74698,activity both,1,912.19
98214,Mariah Wilson,"4518 Gary Parks Suite 343, North Jennyhaven, WI 51027",95329,2024-03-21,66829,indicate glass,3,655.22
98214,Mariah Wilson,"4518 Gary Parks Suite 343, North Jennyhaven, WI 51027",95329,2024-03-21,52265,international watch,1,110.68
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",37817,2024-04-07,62070,firm it,3,709.83
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",37817,2024-04-07,4080,reach physical,4,879.22
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",37817,2024-04-07,60947,front letter,1,793.46
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",35327,2024-08-16,12041,most easy,2,550.4
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",35327,2024-08-16,79139,administration success,1,378.98
78698,Karen Gilbert,"5987 Jason Street, Holmesberg, NY 02331",35327,2024-08-16,23419,represent which,2,615.92
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",80631,2024-06-05,89010,state since,1,773.88
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",80631,2024-06-05,53539,radio develop,5,458.26
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",80631,2024-06-05,9991,each edge,1,185.47
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",77975,2023-10-29,66223,specific serious,4,763.48
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",77975,2023-10-29,13073,table after,3,92.97
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",77975,2023-10-29,39680,wait phone,2,390.08
32371,Wanda Moore MD,"727 Bryan Spring, South Frederick, UT 85852",66098,2024-05-24,70552,blood sister,3,901.46
58141,Pamela West,"Unit 3228 Box 6384, DPO AA 46728",54689,2024-05-19,91472,different state,3,513.47
58141,Pamela West,"Unit 3228 Box 6384, DPO AA 46728",54689,2024-05-19,89010,state since,5,773.88
